dataset_name,error_bound,parquet_size_raw,parquet_size_gzip,mean_absolute_error,mean_absolute_percentage_error
lost_gorilla_v3_d10,0,5029152,4446785,9.409852027893066,0.031343303620815284
lost_gorilla_v3_d10,1,3032786,2413035,22.7695426940918,0.08809866011142731
lost_gorilla_v3_d10,2,1821815,1257068,25.427736282348636,0.09678686410188676
lost_gorilla_v3_d10,5,1392546,838748,26.68930053710937,0.09695912152528764
lost_gorilla_v3_d10,10,1227189,681432,26.26490974426269,0.09428692609071733
lost_gorilla_v3_d10,25,1216515,670618,26.38575553894043,0.09383586794137956
lost_gorilla_v3_d10,50,1213409,667102,26.52787208557129,0.09624841064214706
lost_gorilla_v1,0,5569599,4995618,0.0,0.0
lost_gorilla_v1,1,3424433,2827096,1.883954763412476,0.006176621187478304
lost_gorilla_v1,2,2131749,1556104,2.604416608810425,0.013509661890566349
lost_gorilla_v1,5,1506682,950643,3.083593368530273,0.014642923139035703
lost_gorilla_v1,10,1269894,720317,3.946420907974243,0.01437600143253803
lost_gorilla_v1,25,1227415,683071,5.8981146812438965,0.017453812062740326
lost_gorilla_v1,50,1221367,675941,8.463390350341799,0.02763804048299789
lost_gorilla_v3_d5,0,5344406,4770113,6.7494468688964835,0.02498285286128521
lost_gorilla_v3_d5,1,3243374,2636114,21.69161605834961,0.08345618844032288
lost_gorilla_v3_d5,2,1977343,1411059,28.04076385498047,0.10590825974941254
lost_gorilla_v3_d5,5,1449363,896337,29.63091087341309,0.10917599499225616
lost_gorilla_v3_d5,10,1241392,694745,31.71141815185547,0.11305195838212967
lost_gorilla_v3_d5,25,1220479,675026,31.92904281616211,0.1125710904598236
lost_gorilla_v3_d5,50,1216117,670139,32.272804260253906,0.11582214385271072
swing,0,28749880,12696661,0.0,0.0
swing,1,7883620,4977960,0.7264126539230347,0.00333789736032486
swing,2,3928170,2620108,1.3916294574737549,0.00693861348554492
swing,5,1209298,829623,2.849680185317993,0.014892605133354662
swing,10,762223,506499,5.361740589141847,0.02244194783270359
swing,25,710611,466918,10.673172950744627,0.03532477095723152
swing,50,674697,439580,28.38454246520996,0.08459416776895523
pmc,0,29334152,13610986,0.0,0.0
pmc,1,6458320,3467609,0.6317207217216492,0.00317392498254776
pmc,2,3382573,1928034,1.0609829425811768,0.005493777338415384
pmc,5,989105,570593,1.845437169075012,0.010065917856991293
pmc,10,572938,331827,2.3831284046173096,0.012775897048413755
pmc,25,516171,298359,3.3098735809326167,0.01608528196811676
pmc,50,491736,284422,7.0914669036865225,0.02433118224143982
lost_gorilla_v3_d25,0,4387126,3782838,15.190777778625488,0.052128784358501434
lost_gorilla_v3_d25,1,2659466,2028249,24.968639373779297,0.09253009408712387
lost_gorilla_v3_d25,2,1591615,1025094,26.27281188964844,0.09522736072540283
lost_gorilla_v3_d25,5,1308466,753437,26.378589630126953,0.09527576714754103
lost_gorilla_v3_d25,10,1217051,671834,26.11733627319336,0.0937611386179924
lost_gorilla_v3_d25,25,1212659,666616,26.070375442504886,0.09380645304918288
lost_gorilla_v3_d25,50,1210691,664140,26.07369613647461,0.0947469249367714
raw,-1,16365226,8414186,0.0,0.0
